Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Hammer Curl	hammer-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hammer-curl	N/A	❌ Not Published	dumbbell	Dumbbell hammer curl targeting biceps and forearms. Neutral grip variation.	beginner	arms	curl	
Tricep Extension	tricep-extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tricep-extension	N/A	❌ Not Published	dumbbell	Dumbbell tricep extension targeting triceps. Isolation exercise for arm development.	beginner	arms	extension	
Overhead Tricep Extension	overhead-tricep-extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:overhead-tricep-extension	N/A	❌ Not Published	dumbbell	Dumbbell overhead tricep extension targeting triceps. Full range of motion exercise.	beginner	arms	extension	
Goblet Squat	goblet-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:goblet-squat	N/A	❌ Not Published	dumbbell	Dumbbell goblet squat targeting legs. Great for learning squat mechanics.	beginner	legs	squat	
Lunge	lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge	N/A	❌ Not Published	dumbbell	Dumbbell lunge targeting legs. Unilateral exercise for balance and strength.	beginner	legs	lunge	
Step Up	step-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:step-up	N/A	❌ Not Published	dumbbell	Dumbbell step up targeting legs. Functional movement for lower body strength.	beginner	legs	step	
Calf Raise	calf-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:calf-raise	N/A	❌ Not Published	dumbbell	Dumbbell calf raise targeting calves. Focus on full range of motion and control.	beginner	legs	raise	
Romanian Deadlift	romanian-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:romanian-deadlift	N/A	❌ Not Published	dumbbell	Dumbbell Romanian deadlift targeting hamstrings and glutes. Hip hinge movement pattern.	beginner	legs	deadlift	
Russian Twist	russian-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:russian-twist	N/A	❌ Not Published	dumbbell	Dumbbell Russian twist targeting core. Rotational movement for obliques.	beginner	core	twist	
Wood Chop	wood-chop	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wood-chop	N/A	❌ Not Published	dumbbell	Dumbbell wood chop targeting core. Diagonal movement pattern for functional strength.	beginner	core	chop	
Incline Press	incline-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-press	N/A	❌ Not Published	dumbbell	Dumbbell incline press targeting upper chest. Angled pressing movement.	intermediate	chest	press	
Decline Press	decline-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:decline-press	N/A	❌ Not Published	dumbbell	Dumbbell decline press targeting lower chest. Downward angled pressing movement.	intermediate	chest	press	
Incline Fly	incline-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-fly	N/A	❌ Not Published	dumbbell	Dumbbell incline fly targeting upper chest. Fly movement on inclined surface.	intermediate	chest	fly	
Decline Fly	decline-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:decline-fly	N/A	❌ Not Published	dumbbell	Dumbbell decline fly targeting lower chest. Fly movement on declined surface.	intermediate	chest	fly	
Arnold Press	arnold-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:arnold-press	N/A	❌ Not Published	dumbbell	Dumbbell Arnold press targeting shoulders. Rotating press movement named after Arnold Schwarzenegger.	intermediate	shoulders	press	
Cuban Press	cuban-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cuban-press	N/A	❌ Not Published	dumbbell	Dumbbell Cuban press targeting shoulders. Complex movement for shoulder stability.	intermediate	shoulders	press	
Rear Delt Fly	rear-delt-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:rear-delt-fly	N/A	❌ Not Published	dumbbell	Dumbbell rear delt fly targeting posterior deltoids. Important for shoulder balance.	intermediate	shoulders	fly	
T-Raise	t-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:t-raise	N/A	❌ Not Published	dumbbell	Dumbbell T-raise targeting shoulders. Arms form T-shape during movement.	intermediate	shoulders	raise	
Chest Supported Row	chest-supported-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:chest-supported-row	N/A	❌ Not Published	dumbbell	Dumbbell chest supported row targeting back. Supported position for better form.	intermediate	back	row	
Wide Row	wide-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wide-row	N/A	❌ Not Published	dumbbell	Dumbbell wide row targeting back. Wide grip variation for lat development.	intermediate	back	row	
Renegade Row	renegade-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:renegade-row	N/A	❌ Not Published	dumbbell	Dumbbell renegade row targeting back and core. Plank position rowing exercise.	intermediate	back	row	
Pullover Row	pullover-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pullover-row	N/A	❌ Not Published	dumbbell	Dumbbell pullover row combining pullover and row movements. Complex back exercise.	intermediate	back	complex	
21s Curl	21s-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:21s-curl	N/A	❌ Not Published	dumbbell	Dumbbell 21s curl targeting biceps. 7 partial reps bottom, 7 partial reps top, 7 full reps.	intermediate	arms	curl	
Concentration Curl	concentration-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:concentration-curl	N/A	❌ Not Published	dumbbell	Dumbbell concentration curl targeting biceps. Seated isolation exercise.	intermediate	arms	curl	
Incline Curl	incline-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-curl	N/A	❌ Not Published	dumbbell	Dumbbell incline curl targeting biceps. Inclined position for increased stretch.	intermediate	arms	curl	
Zottman Curl	zottman-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:zottman-curl	N/A	❌ Not Published	dumbbell	Dumbbell Zottman curl targeting biceps and forearms. Curl up, rotate, lower slowly.	intermediate	arms	curl	
Close Grip Press	close-grip-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:close-grip-press	N/A	❌ Not Published	dumbbell	Dumbbell close grip press targeting triceps. Narrow grip pressing movement.	intermediate	arms	press	
Lying Tricep Extension	lying-tricep-extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lying-tricep-extension	N/A	❌ Not Published	dumbbell	Dumbbell lying tricep extension targeting triceps. Also known as skull crushers.	intermediate	arms	extension	
Kickback	kickback	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:kickback	N/A	❌ Not Published	dumbbell	Dumbbell kickback targeting triceps. Bent over isolation exercise.	intermediate	arms	extension	
Sumo Squat	sumo-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sumo-squat	N/A	❌ Not Published	dumbbell	Dumbbell sumo squat targeting legs. Wide stance squat variation.	intermediate	legs	squat	
Bulgarian Split Squat	bulgarian-split-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bulgarian-split-squat	N/A	❌ Not Published	dumbbell	Dumbbell Bulgarian split squat targeting legs. Rear foot elevated split squat.	intermediate	legs	squat	
Walking Lunge	walking-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:walking-lunge	N/A	❌ Not Published	dumbbell	Dumbbell walking lunge targeting legs. Forward moving lunge variation.	intermediate	legs	lunge	
Reverse Lunge	reverse-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:reverse-lunge	N/A	❌ Not Published	dumbbell	Dumbbell reverse lunge targeting legs. Backward stepping lunge variation.	intermediate	legs	lunge	
Lateral Lunge	lateral-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lateral-lunge	N/A	❌ Not Published	dumbbell	Dumbbell lateral lunge targeting legs. Side stepping lunge variation.	intermediate	legs	lunge	
Single Leg Deadlift	single-leg-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:single-leg-deadlift	N/A	❌ Not Published	dumbbell	Dumbbell single leg deadlift targeting legs and core. Unilateral balance challenge.	intermediate	legs	deadlift	
Stiff Leg Deadlift	stiff-leg-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:stiff-leg-deadlift	N/A	❌ Not Published	dumbbell	Dumbbell stiff leg deadlift targeting hamstrings. Straight leg variation.	intermediate	legs	deadlift	
Thrusters	thrusters	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:thrusters	N/A	❌ Not Published	dumbbell	Dumbbell thrusters combining squat and press. Full body compound movement.	intermediate	full_body	complex	
Turkish Get Up	turkish-get-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:turkish-get-up	N/A	❌ Not Published	dumbbell	Dumbbell Turkish get up targeting full body. Complex movement from lying to standing.	intermediate	full_body	getup	
Man Maker	man-maker	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:man-maker	N/A	❌ Not Published	dumbbell	Dumbbell man maker combining multiple movements. Burpee with rows and press.	intermediate	full_body	complex	
Plank Row	plank-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:plank-row	N/A	❌ Not Published	dumbbell	Dumbbell plank row targeting core and back. Plank position with rowing movement.	intermediate	core	row	
Dead Bug	dead-bug	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:dead-bug	N/A	❌ Not Published	dumbbell	Dumbbell dead bug targeting core. Lying position with opposite arm/leg movement.	intermediate	core	stability	
Side Bend	side-bend	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-bend	N/A	❌ Not Published	dumbbell	Dumbbell side bend targeting obliques. Lateral flexion movement.	intermediate	core	bend	
Windmill	windmill	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:windmill	N/A	❌ Not Published	dumbbell	Dumbbell windmill targeting core and shoulders. Complex rotational movement.	intermediate	core	rotation	
Single Arm Press	single-arm-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:single-arm-press	N/A	❌ Not Published	dumbbell	Dumbbell single arm press targeting shoulders and core. Unilateral pressing movement.	advanced	shoulders	press	
Alternating Press	alternating-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:alternating-press	N/A	❌ Not Published	dumbbell	Dumbbell alternating press targeting shoulders. One arm at a time pressing.	advanced	shoulders	press	
See Saw Press	see-saw-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:see-saw-press	N/A	❌ Not Published	dumbbell	Dumbbell see saw press targeting shoulders. Alternating up and down movement.	advanced	shoulders	press	
Bent Over Lateral Raise	bent-over-lateral-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bent-over-lateral-raise	N/A	❌ Not Published	dumbbell	Dumbbell bent over lateral raise targeting rear delts. Bent position lateral movement.	advanced	shoulders	raise	
Y-Raise	y-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:y-raise	N/A	❌ Not Published	dumbbell	Dumbbell Y-raise targeting shoulders. Arms form Y-shape during movement.	advanced	shoulders	raise	
Single Leg Row	single-leg-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:single-leg-row	N/A	❌ Not Published	dumbbell	Dumbbell single leg row targeting back and core. Unilateral row with balance challenge.	advanced	back	row	
Meadows Row	meadows-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:meadows-row	N/A	❌ Not Published	dumbbell	Dumbbell Meadows row targeting back. Single arm row with specific angle.	advanced	back	row	
Seal Row	seal-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:seal-row	N/A	❌ Not Published	dumbbell	Dumbbell seal row targeting back. Prone position rowing exercise.	advanced	back	row	
Archer Push Up	archer-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:archer-push-up	N/A	❌ Not Published	dumbbell	Dumbbell archer push up targeting chest. Unilateral push up variation.	advanced	chest	pushup	
Single Arm Fly	single-arm-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:single-arm-fly	N/A	❌ Not Published	dumbbell	Dumbbell single arm fly targeting chest. Unilateral fly movement.	advanced	chest	fly	
Crush Press	crush-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:crush-press	N/A	❌ Not Published	dumbbell	Dumbbell crush press targeting chest. Dumbbells pressed together during movement.	advanced	chest	press	
Spider Curl	spider-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:spider-curl	N/A	❌ Not Published	dumbbell	Dumbbell spider curl targeting biceps. Inclined position with arms hanging.	advanced	arms	curl	
Drag Curl	drag-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:drag-curl	N/A	❌ Not Published	dumbbell	Dumbbell drag curl targeting biceps. Elbows pulled back during curl.	advanced	arms	curl	
Tate Press	tate-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tate-press	N/A	❌ Not Published	dumbbell	Dumbbell Tate press targeting triceps. Unique angle tricep exercise.	advanced	arms	press	
JM Press	jm-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jm-press	N/A	❌ Not Published	dumbbell	Dumbbell JM press targeting triceps. Hybrid between press and extension.	advanced	arms	press	
Pistol Squat	pistol-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pistol-squat	N/A	❌ Not Published	dumbbell	Dumbbell pistol squat targeting legs. Single leg squat to full depth.	advanced	legs	squat	
Shrimp Squat	shrimp-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:shrimp-squat	N/A	❌ Not Published	dumbbell	Dumbbell shrimp squat targeting legs. Single leg squat with rear leg held.	advanced	legs	squat	
Curtsy Lunge	curtsy-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:curtsy-lunge	N/A	❌ Not Published	dumbbell	Dumbbell curtsy lunge targeting legs. Cross-behind lunge variation.	advanced	legs	lunge	
Clock Lunge	clock-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clock-lunge	N/A	❌ Not Published	dumbbell	Dumbbell clock lunge targeting legs. Multi-directional lunge pattern.	advanced	legs	lunge	
Deficit Deadlift	deficit-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:deficit-deadlift	N/A	❌ Not Published	dumbbell	Dumbbell deficit deadlift targeting legs. Elevated position for increased range.	advanced	legs	deadlift	
Snatch Grip Deadlift	snatch-grip-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:snatch-grip-deadlift	N/A	❌ Not Published	dumbbell	Dumbbell snatch grip deadlift targeting legs. Wide grip deadlift variation.	advanced	legs	deadlift	
Devil Press	devil-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:devil-press	N/A	❌ Not Published	dumbbell	Dumbbell devil press targeting full body. Burpee into double snatch movement.	advanced	full_body	complex	
Dumbbell Complex	dumbbell-complex	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:dumbbell-complex	N/A	❌ Not Published	dumbbell	Dumbbell complex targeting full body. Multiple exercises performed in sequence.	advanced	full_body	complex	
Single Arm Snatch	single-arm-snatch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:single-arm-snatch	N/A	❌ Not Published	dumbbell	Dumbbell single arm snatch targeting full body. Explosive movement from floor to overhead.	advanced	full_body	snatch	
Dumbbell Swing	dumbbell-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:dumbbell-swing	N/A	❌ Not Published	dumbbell	Dumbbell swing targeting full body. Hip hinge explosive movement.	advanced	full_body	swing	
Farmer Walk	farmer-walk	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:farmer-walk	N/A	❌ Not Published	dumbbell	Dumbbell farmer walk targeting full body. Loaded carry exercise.	advanced	full_body	carry
