Standardized Exercise Name,D-Tag,Body Part,Equipment,Sample Weight,Sample Reps,Difficulty,Movement Pattern,Notes
Chest Dip Assisted,chest-dip-assisted,Chest,Machine,-,10 reps,Beginner,Push,Assisted chest dip
Chest Fly,chest-fly,Chest,Machine,-,-,Beginner,Push,Machine chest fly
Chest Fly Band,chest-fly-band,Chest,Resistance Band,-,-,Beginner,Push,Band chest fly
Chest Fly Dumbbell,chest-fly-dumbbell,Chest,Dumbbell,45 lb,9,Intermediate,Push,Dumbbell chest fly
Chest ISO Propain Finisher,chest-iso-propain-finisher,Chest,Bodyweight,-,22 reps,Advanced,Push,Isometric chest finisher
Chest Press Band,chest-press-band,Chest,Resistance Band,-,-,Beginner,Push,Band chest press
Chest Press Machine,chest-press-machine,Chest,Machine,-,-,Beginner,Push,Machine chest press
Chest Pro Pain Finisher,chest-pro-pain-finisher,Chest,Bodyweight,-,42 reps,Advanced,Push,Advanced chest finisher
Rear Delt Raise Chest Supported,rear-delt-raise-chest-supported,Back,Machine,-,-,Beginner,Pull,Rear deltoid isolation
Chin Up,chin-up,Back,Bodyweight,-,-,Intermediate,Pull,Underhand pull-up
Chin Up Assisted,chin-up-assisted,Back,Machine,-,-,Beginner,Pull,Assisted chin-up
Chin Up Band,chin-up-band,Arms,Resistance Band,-,8 reps,Intermediate,Pull,Band-assisted chin-up
Clean Barbell,clean-barbell,Olympic,Barbell,-,-,Advanced,Power,Olympic lift - clean
Clean and Jerk Barbell,clean-and-jerk-barbell,Olympic,Barbell,-,-,Advanced,Power,Olympic lift - clean and jerk
Climbing,climbing,Cardio,Bodyweight,-,-,Intermediate,Full Body,Rock/wall climbing
Close Pushups,close-pushups,Chest,Bodyweight,-,-,Intermediate,Push,Narrow-grip pushup
Cobra Push Up,cobra-push-up,Arms,Bodyweight,-,15 reps,Intermediate,Push,Yoga-inspired pushup variation
Concentration Curl Dumbbell,concentration-curl-dumbbell,Arms,Dumbbell,-,-,Beginner,Pull,Isolated bicep curl
Cross Body Crunch,cross-body-crunch,Core,Bodyweight,-,-,Beginner,Pull,Oblique-focused crunch
Crunch,crunch,Core,Bodyweight,-,-,Beginner,Pull,Basic abdominal crunch
Crunch Machine,crunch-machine,Core,Machine,-,-,Beginner,Pull,Machine-assisted crunch
Crunch Stability Ball,crunch-stability-ball,Core,Stability Ball,-,-,Beginner,Pull,Stability ball crunch
Cycling,cycling,Cardio,Bike,-,-,Beginner,Full Body,Stationary or outdoor cycling
Cycling Indoor,cycling-indoor,Cardio,Bike,-,-,Beginner,Full Body,Indoor cycling/spin
Dumbbell Biceps Curl Torcher,dumbbell-biceps-curl-torcher,Arms,Dumbbell,20 lb,25,Intermediate,Pull,High-rep bicep torcher
Dumbbell Calf Raise Torcher,dumbbell-calf-raise-torcher,Legs,Dumbbell,50 lb,25,Intermediate,Push,High-rep calf torcher
Dumbbell Shrugs Torcher,dumbbell-shrugs-torcher,Back,Dumbbell,50 lb,25,Intermediate,Pull,High-rep shoulder shrug
Dumbbell Abduction Rows,dumbbell-abduction-rows,Shoulders,Dumbbell,30 lb,12,Intermediate,Pull,Rear deltoid exercise
Dumbbell Gorilla Rows Alternating,dumbbell-gorilla-rows-alternating,Back,Dumbbell,65 lb,8,Intermediate,Pull,Alternating bent-over rows
Dumbbell Reverse Sprinter Lunge Alternating,dumbbell-reverse-sprinter-lunge-alternating,Legs,Dumbbell,40 lb,10,Intermediate,Push,Dynamic lunge variation
Dumbbell Bench Front Squats,dumbbell-bench-front-squats,Legs,Dumbbell,50 lb,12,Intermediate,Push,Front-loaded squat
Dumbbell Cheat Laterals,dumbbell-cheat-laterals,Shoulders,Dumbbell,30 lb,12,Intermediate,Push,Lateral raise with momentum
Dumbbell Drag Curl,dumbbell-drag-curl,Arms,Dumbbell,30 lb,10,Intermediate,Pull,Bicep curl variation
Dumbbell Floor Press,dumbbell-floor-press,Chest,Dumbbell,70 lb,7,Intermediate,Push,Floor-based chest press
Dumbbell Haney Shrugs,dumbbell-haney-shrugs,Back,Dumbbell,50 lb,6,Intermediate,Pull,Behind-back shrug variation
Dumbbell Hip Thrust,dumbbell-hip-thrust,Legs,Dumbbell,50 lb,20,Intermediate,Push,Glute-focused hip thrust
Dumbbell JM Press,dumbbell-jm-press,Arms,Dumbbell,35 lb,12,Intermediate,Push,Close-grip tricep press
Dumbbell Kickbacks,dumbbell-kickbacks,Arms,Dumbbell,20 lb,10,Beginner,Push,Tricep isolation exercise
Dumbbell Leaning Step Ups,dumbbell-leaning-step-ups,Legs,Dumbbell,50 lb,6,Intermediate,Push,Angled step-up variation
Dumbbell No Money Curls,dumbbell-no-money-curls,Arms,Dumbbell,30 lb,5,Intermediate,Pull,Reverse curl variation
Dumbbell Overhead Extensions,dumbbell-overhead-extensions,Arms,Dumbbell,25 lb,12,Intermediate,Push,Overhead tricep extension
Dumbbell Rear Delt Rows,dumbbell-rear-delt-rows,Shoulders,Dumbbell,20 lb,16,Intermediate,Pull,Rear deltoid isolation
Dumbbell Renegade Rows,dumbbell-renegade-rows,Back,Dumbbell,-,-,Advanced,Pull,Plank position rowing
Dumbbell Rocket Squats,dumbbell-rocket-squats,Legs,Dumbbell,70 lb,8,Intermediate,Push,Explosive squat variation
Dumbbell Rows,dumbbell-rows,Back,Dumbbell,70 lb,5,Intermediate,Pull,Standard dumbbell rows
Dumbbell Static Creeping Lunges,dumbbell-static-creeping-lunges,Legs,Dumbbell,30 lb,6,Intermediate,Push,Isometric lunge variation
Dumbbell Step Up,dumbbell-step-up,Legs,Dumbbell,40 lb,11,Intermediate,Push,Step-up with dumbbells
Dumbbell Straight Bar Curls,dumbbell-straight-bar-curls,Arms,Dumbbell,35 lb,5,Intermediate,Pull,Straight bar bicep curls
Dumbbell Thrusters,dumbbell-thrusters,Shoulders,Dumbbell,-,-,Intermediate,Push,Squat to press combination
Dumbbell Tripod Rows,dumbbell-tripod-rows,Back,Dumbbell,80 lb,5,Intermediate,Pull,Three-point stance rowing
Dumbbell Underhand Bench Press,dumbbell-underhand-bench-press,Chest,Dumbbell,50 lb,10,Intermediate,Push,Underhand grip press
Deadlift Band,deadlift-band,Legs,Resistance Band,-,15 reps,Beginner,Pull,Band deadlift movement
Deadlift Barbell,deadlift-barbell,Back,Barbell,212 lb,5,Advanced,Pull,Classic barbell deadlift
Deadlift Dumbbell,deadlift-dumbbell,Legs,Dumbbell,90 lb,5,Intermediate,Pull,Dumbbell deadlift
Deadlift Smith Machine,deadlift-smith-machine,Legs,Smith Machine,-,-,Beginner,Pull,Guided deadlift movement
Deadlift High Pull Barbell,deadlift-high-pull-barbell,Olympic,Barbell,-,-,Advanced,Power,Olympic lifting variation
Decline Bench Press Barbell,decline-bench-press-barbell,Chest,Barbell,-,-,Intermediate,Push,Decline angle barbell press
Decline Bench Press Dumbbell,decline-bench-press-dumbbell,Chest,Dumbbell,50 lb,9,Intermediate,Push,Decline angle dumbbell press
Decline Bench Press Smith Machine,decline-bench-press-smith-machine,Chest,Smith Machine,-,-,Beginner,Push,Decline Smith machine press
Decline Crunch,decline-crunch,Core,Bodyweight,-,-,Beginner,Pull,Decline bench crunches
Deficit Deadlift Barbell,deficit-deadlift-barbell,Legs,Barbell,-,-,Advanced,Pull,Elevated platform deadlift
Diagonal Jumping Planks,diagonal-jumping-planks,Core,Bodyweight,-,15 reps,Intermediate,Power,Dynamic plank variation
Diamond Cutter Pushups,diamond-cutter-pushups,Chest,Bodyweight,-,15 reps,Intermediate,Push,Diamond hand position pushup
Divebomber Pushup,divebomber-pushup,Chest,Bodyweight,-,10 reps,Intermediate,Push,Yoga-inspired pushup flow
Double Dumbbell Frog Press,double-dumbbell-frog-press,Legs,Dumbbell,70 lb,12,Intermediate,Push,Frog position leg press
Double Dumbbell Pullover,double-dumbbell-pullover,Back,Dumbbell,30 lb,10,Intermediate,Pull,Double dumbbell pullover
Elbow Tucked Dumbbell Bench Press,elbow-tucked-dumbbell-bench-press,Arms,Dumbbell,60 lb,11,Intermediate,Push,Tricep-focused bench press
Elliptical Machine,elliptical-machine,Cardio,Machine,-,-,Beginner,Full Body,Elliptical cardio exercise
Wall Slides,wall-slides,Back,Bodyweight,-,45 reps,Beginner,Pull,Wall-supported back exercise
Face Pull Cable,face-pull-cable,Shoulders,Cable,50 lb,20,Intermediate,Pull,Rear deltoid cable exercise
Face Pull TRX,face-pull-trx,Back,TRX,-,45 reps,Intermediate,Pull,TRX rear deltoid exercise
Hip Thrust Barbell,hip-thrust-barbell,Legs,Barbell,-,-,Intermediate,Push,Barbell hip thrust
Hip Thrust Bodyweight,hip-thrust-bodyweight,Legs,Bodyweight,-,-,Beginner,Push,Bodyweight hip thrust
Incline Bench Press Barbell,incline-bench-press-barbell,Chest,Barbell,135 lb,8,Intermediate,Push,Incline barbell press
Incline Bench Press Cable,incline-bench-press-cable,Chest,Cable,-,-,Intermediate,Push,Incline cable press
Incline Bench Press Dumbbell,incline-bench-press-dumbbell,Chest,Dumbbell,120 lb,5,Intermediate,Push,Incline dumbbell press
Incline Bench Press Smith Machine,incline-bench-press-smith-machine,Chest,Smith Machine,-,-,Beginner,Push,Incline Smith press
Incline Bench Press Isometric Hold Dumbbell,incline-bench-press-isometric-hold-dumbbell,Chest,Dumbbell,45 lb,1,Advanced,Push,Isometric hold variation
Reverse Hyperextension,reverse-hyperextension,Back,Bodyweight,-,-,Intermediate,Pull,Lower back extension
Reverse Lunge Band,reverse-lunge-band,Legs,Resistance Band,5 lb,15,Beginner,Push,Band reverse lunge
Reverse Plank,reverse-plank,Core,Bodyweight,-,-,Intermediate,Push,Reverse plank hold
Romanian Deadlift Barbell,romanian-deadlift-barbell,Back,Barbell,185 lb,9,Intermediate,Pull,Barbell RDL
Romanian Deadlift Dumbbell,romanian-deadlift-dumbbell,Legs,Dumbbell,100 lb,8,Intermediate,Pull,Dumbbell RDL
Rowing Machine,rowing-machine,Cardio,Machine,-,-,Beginner,Pull,Rowing machine cardio
Running,running,Cardio,Bodyweight,-,-,Beginner,Full Body,Outdoor running
Running Treadmill,running-treadmill,Cardio,Treadmill,-,-,Beginner,Full Body,Treadmill running
V Up,v-up,Core,Bodyweight,-,-,Intermediate,Pull,Core V-up exercise
Walking,walking,Cardio,Bodyweight,-,-,Beginner,Full Body,Walking for cardio
Wide Pull Up,wide-pull-up,Back,Bodyweight,-,-,Intermediate,Pull,Wide-grip pull-up
Wrist Roller,wrist-roller,Arms,Equipment,-,-,Beginner,Pull,Wrist strengthening
Yoga,yoga,Cardio,Bodyweight,-,-,Beginner,Full Body,Yoga practice
Zercher Squat Barbell,zercher-squat-barbell,Legs,Barbell,-,-,Advanced,Push,Front-loaded squat hold
