Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
One Arm Lunge	one-arm-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:one-arm-lunge	N/A	❌ Not Published	suspension_trainer	Suspension trainer lunge targeting legs and balance. Single-leg instability increases core engagement.	intermediate	legs	lunge	
Split Fly	split-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:split-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	intermediate	legs	fly	
Thrusters	thrusters	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:thrusters	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting shoulders with focus on thrust movement pattern.	intermediate	shoulders	thrust	
Chest Clutch	chest-clutch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:chest-clutch	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting chest with focus on clutch movement pattern.	intermediate	chest	clutch	
Twists up	twists-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:twists-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on twist movement pattern.	intermediate	core	twist	
TIP Pushup	tip-pushup	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tip-pushup	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	intermediate	chest	pushup	
Superman	superman	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:superman	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting back with focus on extension movement pattern.	intermediate	back	extension	
Oblique Row	oblique-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oblique-row	N/A	❌ Not Published	suspension_trainer	Suspension trainer rowing exercise targeting core. Lean angle determines difficulty.	intermediate	core	row	
Split Squat	split-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:split-squat	N/A	❌ Not Published	suspension_trainer	Suspension trainer squat variation building lower body strength with assistance or instability challenge.	intermediate	legs	squat	
Lunge Back X	lunge-back-x	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-back-x	N/A	❌ Not Published	suspension_trainer	Suspension trainer lunge targeting legs and balance. Single-leg instability increases core engagement.	intermediate	legs	lunge	
T Fly	t-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:t-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	intermediate	back	fly	
I Arm Row	i-arm-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:i-arm-row	N/A	❌ Not Published	suspension_trainer	Suspension trainer rowing exercise targeting back. Lean angle determines difficulty.	intermediate	back	row	
2 Leg Jump	2-leg-jump	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:2-leg-jump	N/A	❌ Not Published	suspension_trainer	Explosive plyometric exercise using suspension trainer for assistance or added challenge.	intermediate	legs	jump	
Broad Fly Squat	broad-fly-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:broad-fly-squat	N/A	❌ Not Published	suspension_trainer	Suspension trainer squat variation building lower body strength with assistance or instability challenge.	intermediate	legs	squat	
Jump Pull	jump-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jump-pull	N/A	❌ Not Published	suspension_trainer	Suspension trainer pulling exercise targeting back. Body angle adjusts resistance.	intermediate	back	pull	
Quick Push Up	quick-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:quick-push-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	intermediate	chest	pushup	
Jaw Pike	jaw-pike	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jaw-pike	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on pike movement pattern.	intermediate	core	pike	
TIP Plank	tip-plank	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tip-plank	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on plank movement pattern.	intermediate	core	plank	
Pistol Squat	pistol-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pistol-squat	N/A	❌ Not Published	suspension_trainer	Suspension trainer squat variation building lower body strength with assistance or instability challenge.	intermediate	legs	squat	
Back Lunge	back-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-lunge	N/A	❌ Not Published	suspension_trainer	Suspension trainer lunge targeting legs and balance. Single-leg instability increases core engagement.	intermediate	legs	lunge	
Handstand PU	handstand-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:handstand-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting shoulders. Adjustable difficulty with foot positioning.	intermediate	shoulders	pushup	
Row Fly	row-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:row-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer rowing exercise targeting back. Lean angle determines difficulty.	intermediate	back	row	
Scorpio Jump	scorpio-jump	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:scorpio-jump	N/A	❌ Not Published	suspension_trainer	Explosive plyometric exercise using suspension trainer for assistance or added challenge.	intermediate	legs	jump	
Staggered Fly	staggered-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:staggered-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	intermediate	chest	fly	
Jaw Press	jaw-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jaw-press	N/A	❌ Not Published	suspension_trainer	Suspension trainer pressing movement targeting shoulders. Requires core stability throughout.	intermediate	shoulders	press	
Kings Push PU	kings-push-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:kings-push-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	advanced	chest	pushup	
Oblique Saw Cross	oblique-saw-cross	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oblique-saw-cross	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on saw movement pattern.	advanced	core	saw	
T Plank Saw	t-plank-saw	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:t-plank-saw	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on plank movement pattern.	advanced	core	plank	
Side Jump A	side-jump-a	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-jump-a	N/A	❌ Not Published	suspension_trainer	Explosive plyometric exercise using suspension trainer for assistance or added challenge.	advanced	legs	jump	
Bulgarian Split	bulgarian-split	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bulgarian-split	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting legs with focus on split movement pattern.	advanced	legs	split	
Bone Tuck	bone-tuck	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bone-tuck	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on tuck movement pattern.	advanced	core	tuck	
Row Muscle Up	row-muscle-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:row-muscle-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer pulling exercise targeting back. Body angle adjusts resistance.	advanced	back	pull	
Suspended Dip	suspended-dip	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:suspended-dip	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting chest with focus on dip movement pattern.	advanced	chest	dip	
Hang Tay PU	hang-tay-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hang-tay-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	advanced	chest	pushup	
Suspension PU	suspension-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:suspension-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	advanced	chest	pushup	
Crocidile Fly	crocidile-fly	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:crocidile-fly	N/A	❌ Not Published	suspension_trainer	Suspension trainer fly movement providing excellent muscle isolation with instability challenge.	advanced	chest	fly	
T Side PU	t-side-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:t-side-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	advanced	chest	pushup	
Extension PU	extension-pu	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:extension-pu	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	advanced	chest	pushup	
Atomic Pushup	atomic-pushup	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:atomic-pushup	N/A	❌ Not Published	suspension_trainer	Multi-movement suspension trainer combination requiring coordination and full-body stability.	advanced	full_body	complex	
Side Star	side-star	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-star	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on star movement pattern.	advanced	core	star	
Traveling Tower	traveling-tower	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:traveling-tower	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting full_body with focus on travel movement pattern.	advanced	full_body	travel	
Wiper	wiper	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wiper	N/A	❌ Not Published	suspension_trainer	Suspension trainer exercise targeting core with focus on wiper movement pattern.	advanced	core	wiper	
Jump Pistol	jump-pistol	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jump-pistol	N/A	❌ Not Published	suspension_trainer	Explosive plyometric exercise using suspension trainer for assistance or added challenge.	advanced	legs	jump	
Side Squat	side-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-squat	N/A	❌ Not Published	suspension_trainer	Suspension trainer squat variation building lower body strength with assistance or instability challenge.	advanced	legs	squat	
Plyo Push Up	plyo-push-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:plyo-push-up	N/A	❌ Not Published	suspension_trainer	Suspension trainer push-up variation targeting chest. Adjustable difficulty with foot positioning.	advanced	chest	pushup
