Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Wrist Grip	wrist-grip	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wrist-grip	N/A	❌ Not Published	barbell	Barbell exercise targeting arms with focus on grip movement pattern.	intermediate	arms	grip
Standing Calf	standing-calf	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:standing-calf	N/A	❌ Not Published	barbell	Barbell exercise targeting legs with focus on calf movement pattern.	intermediate	legs	calf
Close Grip Bench	close-grip-bench	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:close-grip-bench	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	intermediate	chest	press
Inclined Press	inclined-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:inclined-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	intermediate	chest	press
Squat	squat-intermediate	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:squat-intermediate	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	intermediate	legs	squat
Pullover	pullover	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pullover	N/A	❌ Not Published	barbell	Barbell exercise targeting chest with focus on pullover movement pattern.	intermediate	chest	pullover
Back Wrist Curl	back-wrist-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-wrist-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	intermediate	arms	curl
Pull Over	pull-over	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pull-over	N/A	❌ Not Published	barbell	Barbell exercise targeting chest with focus on pullover movement pattern.	intermediate	chest	pullover
Decline Press	decline-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:decline-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	intermediate	chest	press
Incline Front Raise	incline-front-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-front-raise	N/A	❌ Not Published	barbell	Barbell exercise targeting shoulders with focus on raise movement pattern.	intermediate	shoulders	raise
Split Squat	split-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:split-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	intermediate	legs	squat
Lunge Back	lunge-back	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-back	N/A	❌ Not Published	barbell	Barbell exercise targeting legs with focus on lunge movement pattern.	intermediate	legs	lunge
Power Clean Intermediate	power-clean-intermediate	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:power-clean-intermediate	N/A	❌ Not Published	barbell	Olympic lifting movement bringing barbell from floor to front rack position. Requires explosive hip extension.	intermediate	full_body	clean
Strict Curl	strict-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:strict-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Overhead Press Advanced	overhead-press-advanced	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:overhead-press-advanced	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Front Squat Advanced	front-squat-advanced	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:front-squat-advanced	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Romanian Deadlift Advanced	romanian-deadlift-advanced	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:romanian-deadlift-advanced	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	advanced	legs	deadlift
Sumo Deadlift	sumo-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sumo-deadlift	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	advanced	legs	deadlift
Snatch	snatch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:snatch	N/A	❌ Not Published	barbell	Olympic lift moving barbell from floor to overhead in one motion. Most technical barbell exercise.	advanced	full_body	snatch
Olympic Clean	olympic-clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:olympic-clean	N/A	❌ Not Published	barbell	Olympic lifting movement bringing barbell from floor to front rack position. Requires explosive hip extension.	advanced	full_body	clean
Tricep Extension	tricep-extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tricep-extension	N/A	❌ Not Published	barbell	Isolation exercise targeting triceps with barbell loading. Focus on controlled movement through full range.	advanced	arms	extension
Concentration Curl	concentration-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:concentration-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Incline Curl	incline-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:incline-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Clean	clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clean	N/A	❌ Not Published	barbell	Olympic lifting movement bringing barbell from floor to front rack position. Requires explosive hip extension.	advanced	full_body	clean
Clean and Jerk	clean-and-jerk	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clean-and-jerk	N/A	❌ Not Published	barbell	Multi-movement barbell combination requiring coordination, strength, and technical proficiency.	advanced	full_body	complex
Power Snatch	power-snatch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:power-snatch	N/A	❌ Not Published	barbell	Olympic lift moving barbell from floor to overhead in one motion. Most technical barbell exercise.	advanced	full_body	snatch
High Pull	high-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:high-pull	N/A	❌ Not Published	barbell	Barbell exercise targeting full_body with focus on pull movement pattern.	advanced	full_body	pull
Hang Clean	hang-clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hang-clean	N/A	❌ Not Published	barbell	Olympic lifting movement bringing barbell from floor to front rack position. Requires explosive hip extension.	advanced	full_body	clean
Push Press	push-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:push-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Push Jerk	push-jerk	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:push-jerk	N/A	❌ Not Published	barbell	Olympic pressing movement from front rack to overhead. Combines leg drive with arm extension.	advanced	shoulders	jerk
Split Jerk	split-jerk	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:split-jerk	N/A	❌ Not Published	barbell	Olympic pressing movement from front rack to overhead. Combines leg drive with arm extension.	advanced	shoulders	jerk
Overhead Squat	overhead-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:overhead-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Snatch Grip Deadlift	snatch-grip-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:snatch-grip-deadlift	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	advanced	legs	deadlift
Deficit Deadlift	deficit-deadlift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:deficit-deadlift	N/A	❌ Not Published	barbell	Barbell deadlift variation targeting posterior chain. Hip hinge movement with heavy loading potential.	advanced	legs	deadlift
Pause Squat	pause-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pause-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Pin Squat	pin-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pin-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Anderson Squat	anderson-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:anderson-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Zercher Squat	zercher-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:zercher-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Safety Bar Squat	safety-bar-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:safety-bar-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
Hack Squat	hack-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hack-squat	N/A	❌ Not Published	barbell	Barbell squatting movement building lower body strength and power. Maintain proper depth and form.	advanced	legs	squat
T-Bar Row	t-bar-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:t-bar-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	advanced	back	row
Landmine Row	landmine-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:landmine-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	advanced	back	row
Chest Supported Row	chest-supported-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:chest-supported-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	advanced	back	row
Meadows Row	meadows-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:meadows-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	advanced	back	row
Seal Row	seal-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:seal-row	N/A	❌ Not Published	barbell	Barbell rowing exercise targeting back. Maintain neutral spine and squeeze shoulder blades.	advanced	back	row
Floor Press	floor-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:floor-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	advanced	chest	press
Pin Press	pin-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pin-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	advanced	chest	press
Spoto Press	spoto-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:spoto-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	advanced	chest	press
Wide Grip Bench	wide-grip-bench	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:wide-grip-bench	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	advanced	chest	press
Reverse Grip Bench	reverse-grip-bench	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:reverse-grip-bench	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting chest. Focus on controlled movement and progressive overload.	advanced	chest	press
Bradford Press	bradford-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bradford-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Behind Neck Press	behind-neck-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:behind-neck-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Seated Press	seated-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:seated-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Z Press	z-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:z-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Viking Press	viking-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:viking-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting shoulders. Focus on controlled movement and progressive overload.	advanced	shoulders	press
Drag Curl	drag-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:drag-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Cheat Curl	cheat-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cheat-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
21s Curl	21s-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:21s-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Preacher Curl	preacher-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:preacher-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Spider Curl	spider-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:spider-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Hammer Curl	hammer-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hammer-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
Reverse Curl	reverse-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:reverse-curl	N/A	❌ Not Published	barbell	Barbell curling exercise targeting arms. Focus on controlled eccentric and full range of motion.	advanced	arms	curl
JM Press	jm-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jm-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting arms. Focus on controlled movement and progressive overload.	advanced	arms	press
California Press	california-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:california-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting arms. Focus on controlled movement and progressive overload.	advanced	arms	press
Tate Press	tate-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tate-press	N/A	❌ Not Published	barbell	Barbell pressing exercise targeting arms. Focus on controlled movement and progressive overload.	advanced	arms	press
Rolling Tricep Extension	rolling-tricep-extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:rolling-tricep-extension	N/A	❌ Not Published	barbell	Isolation exercise targeting triceps with barbell loading. Focus on controlled movement through full range.	advanced	arms	extension
Overhead Tricep Extension	overhead-tricep-extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:overhead-tricep-extension	N/A	❌ Not Published	barbell	Isolation exercise targeting triceps with barbell loading. Focus on controlled movement through full range.	advanced	arms	extension
