Exercise Name	d-tag	Reference	Event ID	Status	Equipment	Content	Difficulty	Body Part	Movement Pattern	IMeta
Extension	extension	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:extension	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting back with focus on extension movement pattern.	beginner	back	extension	
Row	row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:row	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting back with focus on pull movement pattern.	beginner	back	pull	
Triceps	triceps	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:triceps	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	beginner	arms	press	
Thruster	thruster	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:thruster	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	beginner	full_body	press	
Hip Raise	hip-raise	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hip-raise	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on raise movement pattern.	beginner	legs	raise	
Cross Swing	cross-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:cross-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	beginner	cardio	swing	
Halo	halo	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:halo	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on rotation movement pattern.	beginner	core	rotation	
Bell Touch	bell-touch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:bell-touch	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on touch movement pattern.	beginner	core	touch	
2H Swing	2h-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:2h-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	beginner	cardio	swing	
1 Arm Swing	1-arm-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:1-arm-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	beginner	cardio	swing	
Back Squat	back-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-squat	N/A	❌ Not Published	kettlebell	Lower body strength exercise with kettlebell loading pattern.	beginner	legs	squat	
Lunge Pass	lunge-pass	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-pass	N/A	❌ Not Published	kettlebell	Single-leg movement pattern challenging balance and unilateral strength.	beginner	legs	lunge	
Goblet Curl	goblet-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:goblet-curl	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting arms with focus on curl movement pattern.	beginner	arms	curl	
Back Thruster Step Twist	back-thruster-step-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-thruster-step-twist	N/A	❌ Not Published	kettlebell	Multi-movement combination exercise requiring advanced coordination and conditioning.	intermediate	full_body	complex	
Side Swing	side-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	intermediate	core	swing	
OH Situp	oh-situp	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:oh-situp	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on situp movement pattern.	intermediate	core	situp	
Front Raise Floor Press	front-raise-floor-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:front-raise-floor-press	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	intermediate	shoulders	press	
1SA Swing	1sa-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:1sa-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	intermediate	cardio	swing	
Alt Arm Swing	alt-arm-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:alt-arm-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	intermediate	cardio	swing	
KB Squat	kb-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:kb-squat	N/A	❌ Not Published	kettlebell	Lower body strength exercise with kettlebell loading pattern.	intermediate	legs	squat	
Suitcase Lift	suitcase-lift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:suitcase-lift	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on lift movement pattern.	intermediate	core	lift	
Toss	toss	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:toss	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting full_body with focus on throw movement pattern.	intermediate	full_body	throw	
Seeswinger	seeswinger	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:seeswinger	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	intermediate	core	swing	
Upright Pull	upright-pull	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:upright-pull	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting shoulders with focus on pull movement pattern.	intermediate	shoulders	pull	
Prone Fold	prone-fold	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:prone-fold	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on fold movement pattern.	intermediate	core	fold	
180 Swing	180-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:180-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	intermediate	cardio	swing	
Side Lunge	side-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-lunge	N/A	❌ Not Published	kettlebell	Single-leg movement pattern challenging balance and unilateral strength.	intermediate	legs	lunge	
Step Swing	step-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:step-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	intermediate	cardio	swing	
Front Circle	front-circle	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:front-circle	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting shoulders with focus on circle movement pattern.	intermediate	shoulders	circle	
Situp Press	situp-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:situp-press	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	advanced	core	press	
Snatch	snatch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:snatch	N/A	❌ Not Published	kettlebell	Single fluid movement from floor to overhead. Most technical kettlebell exercise.	advanced	full_body	snatch	
Russian Twist	russian-twist	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:russian-twist	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on twist movement pattern.	advanced	core	twist	
Situp Step	situp-step	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:situp-step	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on step movement pattern.	advanced	core	step	
Side Squat	side-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-squat	N/A	❌ Not Published	kettlebell	Lower body strength exercise with kettlebell loading pattern.	advanced	legs	squat	
Up Down	up-down	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:up-down	N/A	❌ Not Published	kettlebell	Multi-movement combination exercise requiring advanced coordination and conditioning.	advanced	full_body	complex	
Arm 'C'	arm-c	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:arm-c	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting arms with focus on curl movement pattern.	advanced	arms	curl	
Switch Swing or Morphing	switch-swing-or-morphing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:switch-swing-or-morphing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	advanced	cardio	swing	
Calf Swing	calf-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:calf-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	advanced	legs	swing	
Arm 'V'	arm-v	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:arm-v	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting arms with focus on raise movement pattern.	advanced	arms	raise	
X Snatch	x-snatch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:x-snatch	N/A	❌ Not Published	kettlebell	Single fluid movement from floor to overhead. Most technical kettlebell exercise.	advanced	full_body	snatch	
Clean Press	clean-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clean-press	N/A	❌ Not Published	kettlebell	Multi-movement combination exercise requiring advanced coordination and conditioning.	advanced	full_body	clean	
Toe Touch	toe-touch	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:toe-touch	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on touch movement pattern.	advanced	core	touch	
Low Mill	low-mill	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:low-mill	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on mill movement pattern.	advanced	core	mill	
Back Press Chest to Bell	back-press-chest-to-bell	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-press-chest-to-bell	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	advanced	shoulders	press	
Side Skip	side-skip	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-skip	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting cardio with focus on skip movement pattern.	advanced	cardio	skip	
Swing Walk	swing-walk	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:swing-walk	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting cardio with focus on walk movement pattern.	advanced	cardio	walk	
Jump Swing	jump-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jump-swing	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting cardio with focus on jump movement pattern.	advanced	cardio	jump	
Side Jump	side-jump	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-jump	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on jump movement pattern.	advanced	legs	jump	
Ball Press	ball-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:ball-press	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	advanced	shoulders	press	
Pull Over	pull-over	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:pull-over	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting chest with focus on pull movement pattern.	advanced	chest	pull	
Clean & Jerk Lunge Clean	clean-jerk-lunge-clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clean-jerk-lunge-clean	N/A	❌ Not Published	kettlebell	Multi-movement combination exercise requiring advanced coordination and conditioning.	advanced	full_body	complex	
Clam Shell	clam-shell	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clam-shell	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on clam movement pattern.	advanced	legs	clam	
Haymaker	haymaker	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:haymaker	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on punch movement pattern.	advanced	core	punch	
Push Press	push-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:push-press	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	advanced	shoulders	press	
Plyo Pushup	plyo-pushup	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:plyo-pushup	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting chest with focus on plyo movement pattern.	advanced	chest	plyo	
Side Chop	side-chop	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:side-chop	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on chop movement pattern.	advanced	core	chop	
Fast Feet	fast-feet	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:fast-feet	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting cardio with focus on feet movement pattern.	advanced	cardio	feet	
Jump Back	jump-back	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jump-back	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on jump movement pattern.	advanced	legs	jump	
Clock Clean	clock-clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clock-clean	N/A	❌ Not Published	kettlebell	Explosive movement bringing kettlebell from floor to rack position. Requires coordination and timing.	advanced	full_body	clean	
Hammer	hammer	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:hammer	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on hammer movement pattern.	advanced	core	hammer	
Plank Row	plank-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:plank-row	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on row movement pattern.	advanced	core	row	
Sit Clean	sit-clean	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sit-clean	N/A	❌ Not Published	kettlebell	Explosive movement bringing kettlebell from floor to rack position. Requires coordination and timing.	advanced	full_body	clean	
Sit Thruster	sit-thruster	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sit-thruster	N/A	❌ Not Published	kettlebell	Multi-movement combination exercise requiring advanced coordination and conditioning.	advanced	full_body	thruster	
Get Up	get-up	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:get-up	N/A	❌ Not Published	kettlebell	Complex movement sequence from lying to standing position with kettlebell overhead.	advanced	full_body	getup	
High Windmill	high-windmill	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:high-windmill	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on windmill movement pattern.	advanced	core	windmill	
Back Push	back-push	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:back-push	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	advanced	shoulders	push	
Sit Pushup	sit-pushup	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sit-pushup	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting chest with focus on pushup movement pattern.	advanced	chest	pushup	
Top Swing	top-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:top-swing	N/A	❌ Not Published	kettlebell	Dynamic kettlebell swing variation targeting posterior chain and cardiovascular fitness.	advanced	cardio	swing	
Lunge Elbow Back Lunge	lunge-elbow-back-lunge	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:lunge-elbow-back-lunge	N/A	❌ Not Published	kettlebell	Single-leg movement pattern challenging balance and unilateral strength.	advanced	legs	lunge	
Tricep Lift	tricep-lift	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:tricep-lift	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting arms with focus on lift movement pattern.	advanced	arms	lift	
Squat Curl	squat-curl	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:squat-curl	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting legs with focus on curl movement pattern.	advanced	legs	curl	
1 Leg Row	1-leg-row	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:1-leg-row	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting back with focus on row movement pattern.	advanced	back	row	
Clean Thrust Clean Thrust	clean-thrust-clean-thrust	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:clean-thrust-clean-thrust	N/A	❌ Not Published	kettlebell	Multi-movement combination exercise requiring advanced coordination and conditioning.	advanced	full_body	complex	
Plank	plank	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:plank	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on plank movement pattern.	advanced	core	plank	
Jackknife	jackknife	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:jackknife	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on jackknife movement pattern.	advanced	core	jackknife	
Sit Press	sit-press	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sit-press	N/A	❌ Not Published	kettlebell	Overhead pressing movement building shoulder stability and strength.	advanced	shoulders	press	
Sit Turn	sit-turn	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:sit-turn	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting core with focus on turn movement pattern.	advanced	core	turn	
Speed Skater Pistol Squat	speed-skater-pistol-squat	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:speed-skater-pistol-squat	N/A	❌ Not Published	kettlebell	Lower body strength exercise with kettlebell loading pattern.	advanced	legs	squat	
Turkish Getup	turkish-getup	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:turkish-getup	N/A	❌ Not Published	kettlebell	Complex movement sequence from lying to standing position with kettlebell overhead.	advanced	full_body	getup	
1 Arm Pushup Skup Swing	1-arm-pushup-skup-swing	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:1-arm-pushup-skup-swing	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting chest with focus on pushup movement pattern.	advanced	chest	pushup	
Walk Back	walk-back	33401:0bdd91e8a30d87d041eafd1871f17d426fa415c69a9a822eccad49017bac59e7:walk-back	N/A	❌ Not Published	kettlebell	Kettlebell exercise targeting cardio with focus on walk movement pattern.	advanced	cardio	walk
